year,round,raceId,constructorId,statusId,points
2010,1,Bahrain Grand Prix,ferrari,Finished,43.0
2010,1,Bahrain Grand Prix,force_india,Finished,2.0
2010,1,Bahrain Grand Prix,hrt,Accident,0.0
2010,1,Bahrain Grand Prix,hrt,Overheating,0.0
2010,1,Bahrain Grand Prix,lotus_racing,+2 Laps,0.0
2010,1,Bahrain Grand Prix,lotus_racing,Hydraulics,0.0
2010,1,Bahrain Grand Prix,mclaren,Finished,21.0
2010,1,Bahrain Grand Prix,mercedes,Finished,18.0
2010,1,Bahrain Grand Prix,red_bull,Finished,16.0
2010,1,Bahrain Grand Prix,renault,Finished,0.0
2010,1,Bahrain Grand Prix,renault,Suspension,0.0
2010,1,Bahrain Grand Prix,sauber,Hydraulics,0.0
2010,1,Bahrain Grand Prix,toro_rosso,Electrical,0.0
2010,1,Bahrain Grand Prix,toro_rosso,Finished,0.0
2010,1,Bahrain Grand Prix,virgin,Gearbox,0.0
2010,1,Bahrain Grand Prix,virgin,Hydraulics,0.0
2010,1,Bahrain Grand Prix,williams,+1 Lap,0.0
2010,1,Bahrain Grand Prix,williams,Finished,1.0
2010,2,Australian Grand Prix,ferrari,Finished,27.0
2010,2,Australian Grand Prix,force_india,Engine,0.0
2010,2,Australian Grand Prix,force_india,Finished,6.0
2010,2,Australian Grand Prix,hrt,+5 Laps,0.0
2010,2,Australian Grand Prix,hrt,Hydraulics,0.0
2010,2,Australian Grand Prix,lotus_racing,+2 Laps,0.0
2010,2,Australian Grand Prix,lotus_racing,Hydraulics,0.0
2010,2,Australian Grand Prix,mclaren,Finished,33.0
2010,2,Australian Grand Prix,mercedes,Finished,11.0
2010,2,Australian Grand Prix,red_bull,Finished,2.0
2010,2,Australian Grand Prix,red_bull,Wheel,0.0
2010,2,Australian Grand Prix,renault,Finished,18.0
2010,2,Australian Grand Prix,renault,Spun off,0.0
2010,2,Australian Grand Prix,sauber,Collision,0.0
2010,2,Australian Grand Prix,sauber,Finished,0.0
2010,2,Australian Grand Prix,toro_rosso,Collision,0.0
2010,2,Australian Grand Prix,toro_rosso,Finished,0.0
2010,2,Australian Grand Prix,virgin,Hydraulics,0.0
2010,2,Australian Grand Prix,virgin,Suspension,0.0
2010,2,Australian Grand Prix,williams,Collision,0.0
2010,2,Australian Grand Prix,williams,Finished,4.0
2010,3,Malaysian Grand Prix,ferrari,Engine,0.0
2010,3,Malaysian Grand Prix,ferrari,Finished,6.0
2010,3,Malaysian Grand Prix,force_india,Finished,10.0
2010,3,Malaysian Grand Prix,force_india,Throttle,0.0
2010,3,Malaysian Grand Prix,hrt,+3 Laps,0.0
2010,3,Malaysian Grand Prix,hrt,+4 Laps,0.0
2010,3,Malaysian Grand Prix,lotus_racing,+10 Laps,0.0
2010,3,Malaysian Grand Prix,lotus_racing,+5 Laps,0.0
2010,3,Malaysian Grand Prix,mclaren,Finished,12.0
2010,3,Malaysian Grand Prix,mercedes,Finished,15.0
2010,3,Malaysian Grand Prix,mercedes,Wheel,0.0
2010,3,Malaysian Grand Prix,red_bull,Finished,43.0
2010,3,Malaysian Grand Prix,renault,Finished,12.0
2010,3,Malaysian Grand Prix,renault,Gearbox,0.0
2010,3,Malaysian Grand Prix,sauber,Engine,0.0
2010,3,Malaysian Grand Prix,toro_rosso,Finished,2.0
2010,3,Malaysian Grand Prix,virgin,+3 Laps,0.0
2010,3,Malaysian Grand Prix,virgin,Spun off,0.0
2010,3,Malaysian Grand Prix,williams,+1 Lap,0.0
2010,3,Malaysian Grand Prix,williams,Finished,1.0
2010,4,Chinese Grand Prix,ferrari,Finished,14.0
2010,4,Chinese Grand Prix,force_india,Accident,0.0
2010,4,Chinese Grand Prix,force_india,Finished,0.0
2010,4,Chinese Grand Prix,hrt,+2 Laps,0.0
2010,4,Chinese Grand Prix,hrt,+4 Laps,0.0
2010,4,Chinese Grand Prix,lotus_racing,+1 Lap,0.0
2010,4,Chinese Grand Prix,lotus_racing,Hydraulics,0.0
2010,4,Chinese Grand Prix,mclaren,Finished,43.0
2010,4,Chinese Grand Prix,mercedes,Finished,16.0
2010,4,Chinese Grand Prix,red_bull,Finished,12.0
2010,4,Chinese Grand Prix,renault,Finished,16.0
2010,4,Chinese Grand Prix,sauber,Accident,0.0
2010,4,Chinese Grand Prix,sauber,Technical,0.0
2010,4,Chinese Grand Prix,toro_rosso,Accident,0.0
2010,4,Chinese Grand Prix,toro_rosso,Finished,0.0
2010,4,Chinese Grand Prix,virgin,Clutch,0.0
2010,4,Chinese Grand Prix,virgin,Engine,0.0
2010,4,Chinese Grand Prix,williams,+1 Lap,0.0
2010,4,Chinese Grand Prix,williams,Finished,0.0
2010,5,Spanish Grand Prix,ferrari,Finished,26.0
2010,5,Spanish Grand Prix,force_india,Engine,0.0
2010,5,Spanish Grand Prix,force_india,Finished,6.0
2010,5,Spanish Grand Prix,hrt,Accident,0.0
2010,5,Spanish Grand Prix,hrt,Suspension,0.0
2010,5,Spanish Grand Prix,lotus_racing,+3 Laps,0.0
2010,5,Spanish Grand Prix,lotus_racing,Gearbox,0.0
2010,5,Spanish Grand Prix,mclaren,Finished,10.0
2010,5,Spanish Grand Prix,mclaren,Puncture,0.0
2010,5,Spanish Grand Prix,mercedes,+1 Lap,0.0
2010,5,Spanish Grand Prix,mercedes,Finished,12.0
2010,5,Spanish Grand Prix,red_bull,Finished,40.0
2010,5,Spanish Grand Prix,renault,+1 Lap,0.0
2010,5,Spanish Grand Prix,renault,Finished,4.0
2010,5,Spanish Grand Prix,sauber,+1 Lap,0.0
